age,workclass,gender,income
25,Private,Male,<=50K
38,Private,Male,<=50K
28,Local-gov,Male,>50K
44,Private,Male,>50K
18,?,Female,<=50K
34,Private,Male,<=50K
29,?,Male,<=50K
63,Self-emp-not-inc,Male,>50K
24,Private,Female,<=50K
55,Private,Male,<=50K
65,Private,Male,>50K
36,Federal-gov,Male,<=50K
26,Private,Female,<=50K
58,?,Male,<=50K
48,Private,Male,>50K
43,Private,Male,>50K
20,State-gov,Male,<=50K
43,Private,Female,<=50K
37,Private,Female,<=50K
40,Private,Male,>50K
34,Private,Male,>50K
34,Private,Female,<=50K
72,?,Female,<=50K
25,Private,Male,<=50K
25,Private,Male,<=50K
45,Self-emp-not-inc,Male,>50K
22,Private,Male,<=50K
23,Private,Male,<=50K
540,Private,Male,<=50K
32,Self-emp-not-inc,Male,<=50K
46,State-gov,Male,>50K
56,Self-emp-not-inc,Female,<=50K
24,Self-emp-not-inc,Male,<=50K
23,Local-gov,Male,<=50K
26,Private,Female,<=50K
65,?,Male,<=50K
36,Local-gov,Male,>50K
22,Private,Male,<=50K
17,Private,Male,<=50K
20,Private,Male,<=50K
65,Private,Male,>50K
44,Self-emp-inc,Male,>50K
36,Private,Male,<=50K
29,Private,Male,<=50K
20,State-gov,Male,<=50K
28,Private,Female,>50K
39,Private,Male,<=50K
54,Private,Male,<=50K
52,Private,Female,<=50K
56,Self-emp-inc,Female,<=50K
18,Private,Male,<=50K
39,Private,Male,<=50K
21,Private,Female,<=50K
22,Private,Male,>50K
38,Private,Male,<=50K
21,Private,Female,<=50K
63,Private,Male,<=50K
34,Local-gov,Male,>50K
42,Self-emp-inc,Male,>50K
33,Private,Male,<=50K
30,Private,Female,<=50K
39,Private,Male,<=50K
26,Private,Female,<=50K
33,Private,Female,<=50K
47,Local-gov,Female,<=50K
41,Private,Female,<=50K
41,Self-emp-inc,Male,>50K
19,Private,Male,<=50K
46,Private,Male,<=50K
43,Private,Male,<=50K
55,Private,Male,>50K
46,Private,Male,<=50K
30,Private,Male,<=50K
21,Private,Female,<=50K
46,Private,Male,<=50K
17,?,Male,<=50K
41,Private,Male,<=50K
69,Self-emp-inc,Male,<=50K
50,Private,Male,<=50K
20,Private,Female,<=50K
45,Self-emp-inc,Male,<=50K
23,Private,Male,<=50K
24,Private,Male,<=50K
44,Self-emp-inc,Male,>50K
31,Self-emp-not-inc,Male,<=50K
43,Private,Female,<=50K
20,Federal-gov,Female,<=50K
55,Private,Male,>50K
24,Federal-gov,Male,<=50K
41,?,Female,>50K
59,Private,Female,<=50K
49,Federal-gov,Male,<=50K
33,Private,Female,>50K
59,Federal-gov,Male,<=50K
34,Private,Male,<=50K
20,Private,Male,<=50K
25,Private,Female,<=50K
49,Private,Male,<=50K
59,Private,Male,>50K
20,Private,Female,<=50K
51,?,Female,<=50K
33,Private,Female,<=50K
22,Private,Male,<=50K
58,Self-emp-not-inc,Female,<=50K
52,Local-gov,Female,<=50K
36,Private,Female,<=50K
41,Local-gov,Male,<=50K
28,Private,Male,<=50K
19,Private,Male,<=50K
18,Private,Female,<=50K
18,Private,Female,<=50K
28,Private,Male,<=50K
29,Private,Male,>50K
20,?,Female,<=50K
40,Private,Male,<=50K
26,Private,Male,<=50K
46,Private,Male,<=50K
23,Private,Female,<=50K
44,Private,Female,<=50K
43,Private,Female,>50K
31,Local-gov,Female,<=50K
18,Private,Female,<=50K
19,Private,Male,<=50K
41,Private,Female,<=50K
41,Private,Female,<=50K
69,Private,Female,<=50K
48,Federal-gov,Female,>50K
28,Private,Male,<=50K
27,Self-emp-not-inc,Male,>50K
41,Private,Male,>50K
41,Private,Male,<=50K
24,Private,Female,<=50K
20,?,Female,<=50K
42,Self-emp-inc,Male,>50K
57,Private,Male,<=50K
30,Private,Female,<=50K
36,Private,Male,>50K
